phoneme,source
ɣua,phoible
ɦ̃,phoible
ʲdn,phoible
s̪͉,phoible
tːʃ,phoible
ɔ̤i,phoible
ɐ̰,phoible
ʉ̈,phoible
mʙ̥,phoible
bw,phoible
m̥b,phoible
ɯ̞ɰ,phoible
ɨ̥˞,phoible
tʰɪ̯,phoible
d͉,phoible
ø̥,phoible
ŋ̊ɡ,phoible
ʛ,phoible
ĭ̥,phoible
ç,ucla
uʔ,phoible
ɖ̞,phoible
dzj,phoible
ʔb,phoible
t̠ʃ̰ʲ,phoible
ʔr,phoible
r̪̥,phoible
ẽ̘,phoible
ɣ̃,phoible
ɴɢǁqʰ,phoible
˦˩ˀ,phoible
ɹ̞,phoible
b̃ʷ,phoible
ɲ̩̊,phoible
d̠ʒ͉,phoible
rˠ,phoible
k̥,phoible
ĩi̯,phoible
ʕ̥,phoible
z̪̥,phoible
e̞̯,phoible
ɲ̥ː,phoible
h͉,phoible
ʱɲ̊,phoible
iʔ,phoible
pɸ̪,phoible
ḭṵ̆,phoible
xːʀ̥,phoible
e̞˞,phoible
ŋŋ̥,phoible
fʷˠ,phoible
ɭɬ̜,phoible
ʷts,phoible
ʊˑ,phoible
ɜ̆,phoible
st̠ʃ,phoible
n͈,phoible
ɾl,phoible
ʰpˑ,phoible
ʁ̰,phoible
∅,phoible
eːi,phoible
vˑ,phoible
nʒ,phoible
qx,phoible
ɤ̞̃ː,phoible
c̟̚,phoible
ɓ̚,phoible
o̞ə̯,phoible
ɭʲ,phoible
n̪θ,phoible
c̟ʰ,phoible
k̟̚,phoible
ɛɜ̯,phoible
ŋɡb,phoible
ə̴ː,phoible
ts̃,phoible
ʁ̥ʷ,phoible
ɡ̟̚,phoible
n̥͈,phoible
k̃,phoible
fw,phoible
b̚,phoible
eɛ̯,phoible
ʲeː,phoible
eə̯,phoible
ʁ̥ʷː,phoible
bɸ,phoible
ɣx,phoible
h̃ʲ,phoible
dz̥,phoible
jʒ,phoible
bvf,phoible
ŋw̃,phoible
d̺̤,phoible
kpⁿ,phoible
ɯ̥̃,phoible
ɸ̃ʲ,phoible
cç,ucla
ɔːɒ̯ˤ,phoible
t͉̚,phoible
ʲd̚,phoible
cʝ,phoible
d̪ˡ,phoible
dʷˠ,phoible
ɑ̠e,phoible
b̥ʷ,phoible
ɡ̥ʷː,phoible
b̞̤,phoible
ɡˀ,phoible
ɑ̤i,phoible
qǁʰ,phoible
b̤̚,phoible
kɣ,phoible
t̪ʃ̟,phoible
e̝ː,phoible
yaː,phoible
o̟ː,phoible
ʒ̥,phoible
çt,phoible
ʔt̻̚,phoible
d̤ː,phoible
i̠ː,phoible
p̬ʰ,phoible
ĭ̤,phoible
rʷˠ,phoible
kχ,phoible
t̬ʲ,phoible
f̃,phoible
ɲ̟ː,phoible
ʈʔ,phoible
ɦʷˠ,phoible
ʔæ,phoible
ɣue,phoible
tʂ,phoible
ɣ̞,phoible
ɹˠ,phoible
ɣ̟,phoible
ẽi,phoible
ĭɑ,phoible
ʲɻ,phoible
ə̝̹,phoible
ɬʷʲ,phoible
ɪ̥̈,phoible
ee̞ː,phoible
l̩ˤ,phoible
ɛʌ̯,phoible
ĭ̃,phoible
ʲn,phoible
ĩ̘,phoible
dzs,phoible
ɦˠ,phoible
ɴǁɢ,phoible
ʝʷ,phoible
tʔ,phoible
t̠ʃˑ,phoible
ɲ̥j,phoible
n̚ʲ,phoible
ɵʊ,phoible
ɲj̃,phoible
s̃,phoible
l̩ʲ,phoible
t̪̚ʰ,phoible
ʝ̃,phoible
ɡŋ,phoible
wʊ,phoible
md,phoible
θˑ,phoible
ɵ̥,phoible
wiy,phoible
cʃ,phoible
ʔc̟̚,phoible
o̞ˑ,phoible
t̥,phoible
ɑʔ,phoible
ɖrʷ,phoible
ø̞ə̯,phoible
ʊə̯,phoible
˨˥̆,phoible
ɒə,phoible
j̃ː,phoible
u̥ː,phoible
oɤ,phoible
pɸʲ,phoible
k͈ʷː,phoible
ʁˤː,phoible
ɳ̩,phoible
r̠̃,phoible
tʂʼ,phoible
ɗ̺,phoible
ˀk͉,phoible
ɑ̥,phoible
xˠ,phoible
kx̟ʰ,phoible
ɴǃɢ,phoible
k͈ʲː,phoible
ḁː,phoible
o̞ɔ̯,phoible
ʃ͈ʲː,phoible
s̞̩,phoible
vʷˠ,phoible
t̪s̪̟ʰ,phoible
ɔo̤̯,phoible
w̃ː,phoible
ʁ̞̥,phoible
l̩ʷˠ,phoible
ts̰ʲ,phoible
ɜ̠,phoible
y̥,phoible
ʊ̪,phoible
ˀnd,phoible
ɐ˞,phoible
d̪̞z̪̞,phoible
d̠ʒ̰,phoible
ɲʲ,phoible
dˡ,phoible
ʷt,phoible
βˠ,phoible
˨˩˥,phoible
ʉ̈ʲ,phoible
ɪ̥̆,phoible
ʔɲ̰,phoible
ey,espeak-ng
øi,espeak-ng
æy,espeak-ng
iy,espeak-ng
tʃ,espeak-ng
dʒ,espeak-ng
tʃʲ,espeak-ng
dʒʲ,espeak-ng
yɪ,espeak-ng
yʊ,espeak-ng
ss,espeak-ng
dʒː,espeak-ng
əl,espeak-ng
sx,espeak-ng
ɐ̃ʊ̃,espeak-ng
ɐɐ,espeak-ng
t͡s,espeak-ng
t͡ʃ,espeak-ng
ɯɯ,espeak-ng
ɔø,espeak-ng
ju,espeak-ng
ee,espeak-ng
eɑ,espeak-ng
ɔɨ,espeak-ng
ɨu,espeak-ng
ɑɨ,espeak-ng
ɔɜ,espeak-ng
oɜ,espeak-ng
əːɜ,espeak-ng
eɜ,espeak-ng
aːɜ,espeak-ng
aɜ,espeak-ng
əɜ,espeak-ng
ɛɜ,espeak-ng
tʃʰ,espeak-ng
əʰχ,espeak-ng
aːʰχ,espeak-ng
ʔʌ,espeak-ng
ɛ,espeak-ng
ɑɑ,espeak-ng
ʔœ,espeak-ng
ʔu,espeak-ng
ɒɒ,espeak-ng
aa,espeak-ng
ɔɔ,espeak-ng
tʃʲʲ,espeak-ng
